src,width,height,bytes,format,role,decision,reason
"/covers/act-klook-osaka-pass-ai.jpeg","960","640","102190","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/act-klook-teamlab-tokyo-ai.jpeg","960","640","165371","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/act-klook-uss-singapore-ai.jpeg","960","640","202024","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/act-osaka-usj-ai.jpeg","960","640","148169","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/act-tokyo-disney-ai.jpeg","960","640","128350","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/activity-curated-real-v2.jpeg","1200","800","187944","jpeg","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
"/covers/activity-seoul-baseball-editorial-v2.webp","1200","900","136582","webp","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
"/covers/airport-lounge-editorial-photo-v2.webp","1200","900","81816","webp","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
"/covers/airport-taxi-editorial-photo-v2.webp","1200","900","144360","webp","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
"/covers/airport-transfer-editorial-photo-v2.webp","1200","900","79814","webp","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
"/covers/carhire-editorial-photo-v2.webp","1200","900","127516","webp","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
"/covers/carhire-tripcom-ai.jpeg","926","636","68195","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/course-claude-ai.jpeg","926","636","76657","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/course-claude-photo-v2.webp","1200","900","53782","webp","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
"/covers/course-excel-ai.jpeg","926","636","40428","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/course-excel-photo-v2.webp","1200","900","62198","webp","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
"/covers/course-figma-ai.jpeg","926","636","35243","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/course-figma.svg","","","1768","svg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/course-midjourney-ai.jpeg","926","636","61528","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/course-midjourney-photo-v2.webp","1200","900","92920","webp","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
"/covers/course-midjourney.svg","","","1702","svg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/course-notion-ai.jpeg","926","636","32421","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/course-notion-photo-v2.webp","1200","900","83738","webp","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
"/covers/course-python-ai.jpeg","926","636","41176","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/course-python-photo-v2.webp","1200","900","70532","webp","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
"/covers/course-smartstore-ai.jpeg","926","636","33849","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/course-smartstore-photo-v2.webp","1200","900","72596","webp","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
"/covers/course-smartstore.svg","","","2017","svg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/cruise-caribbean-editorial-photo-v2.webp","1200","900","201626","webp","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
"/covers/cruise-costa-serena-ai.jpeg","926","636","47561","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/cruise-msc-world-europa-ai.jpeg","926","636","48881","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/cruise-panstar-real-v2.jpeg","1200","800","173838","jpeg","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
"/covers/cruise-transatlantic-editorial-photo-v2.webp","1200","900","160568","webp","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
"/covers/dest-canggu-ai.jpeg","960","640","150622","jpeg","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/covers/dest-goldcoast-ai.jpeg","960","640","106883","jpeg","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/covers/dest-guangzhou-ai.jpeg","960","640","116169","jpeg","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/covers/dest-jeju-ai.jpeg","960","640","137904","jpeg","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/covers/dest-kanazawa-real.jpeg","1400","935","214901","jpeg","destination","KEEP","Destination-led image with a registered locale/focal-point use."
"/covers/dest-kawaguchiko-real.jpeg","1400","933","371854","jpeg","destination","KEEP","Destination-led image with a registered locale/focal-point use."
"/covers/dest-sapporo-ai.jpeg","960","640","145165","jpeg","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/covers/dest-yufuin-real.jpeg","1400","933","311293","jpeg","destination","KEEP","Destination-led image with a registered locale/focal-point use."
"/covers/esim-asia-ai.jpeg","926","636","52524","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/esim-asia-photo-v2.webp","1200","900","72174","webp","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
"/covers/esim-asia.svg","","","1784","svg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/esim-japan-ai.jpeg","926","636","24269","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/esim-japan-photo-v2.webp","1200","900","87820","webp","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
"/covers/esim-japan.svg","","","1872","svg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/eurail-europe-real-v2.jpeg","1200","800","232940","jpeg","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
"/covers/flight-global-real-v2.jpeg","1200","800","117700","jpeg","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
"/covers/golf-pattaya-real-v2.jpeg","1200","800","197224","jpeg","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
"/covers/home-hero-real.jpeg","1800","1200","644619","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/jrpass-japan-real-v2.jpeg","1200","800","198549","jpeg","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
"/covers/local-izakaya-kyoto-real-v2.jpeg","1200","800","153433","jpeg","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
"/covers/lounge-klook-ai.jpeg","926","636","68249","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/onsen-hero-real.jpeg","1800","1200","577546","jpeg","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
"/covers/sports-tottenham-real-v2.jpeg","1200","800","192167","jpeg","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
"/covers/stay-adina-melbourne-ai.jpeg","960","640","97518","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/stay-adina-sydney-ai.jpeg","960","640","106565","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/stay-bali-city-real.jpeg","1400","1400","356965","jpeg","stay_or_city_photo","KEEP_VERIFIED","Previously verified photographic asset; product claims remain governed by the catalog."
"/covers/stay-chicland-danang-ai.jpeg","960","640","103405","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/stay-citizenm-taipei-ai.jpeg","960","640","86650","jpeg","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/covers/stay-dhts-hcmc-ai.jpeg","960","640","108312","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/stay-fields-seminyak-ai.jpeg","960","640","109097","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/stay-fraser-seoul-ai.jpeg","960","640","104626","jpeg","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/covers/stay-fukuoka-city-real.jpeg","1400","934","313760","jpeg","stay_or_city_photo","KEEP_VERIFIED","Previously verified photographic asset; product claims remain governed by the catalog."
"/covers/stay-gloria-taipei-ai.jpeg","960","640","98339","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/stay-kantary-chiangmai-ai.jpeg","960","640","117607","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/stay-lyf-funan-singapore-ai.jpeg","960","640","135444","jpeg","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/covers/stay-lyf-sukhumvit-bangkok-ai.jpeg","960","640","156196","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/stay-meriton-goldcoast-ai.jpeg","960","640","101531","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/stay-meriton-kent-sydney-ai.jpeg","960","640","123305","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/stay-mimaru-tokyo-ai.jpeg","960","640","96251","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/stay-naka-phuket-ai.jpeg","960","640","132616","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/stay-nomadshub-cebu-ai.jpeg","960","640","147856","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/stay-osaka-city-real.jpeg","1400","2100","799801","jpeg","stay_or_city_photo","KEEP_VERIFIED","Previously verified photographic asset; product claims remain governed by the catalog."
"/covers/stay-playce-jeju-ai.jpeg","960","640","118155","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/stay-sanouva-danang-ai.jpeg","960","640","97392","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/stay-seaside-nhatrang-ai.jpeg","960","640","94735","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/stay-shama-bangkok-ai.jpeg","960","640","103741","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/stay-skybay-gangneung-ai.jpeg","960","640","84339","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/stay-thenomad-canggu-ai.jpeg","960","640","142508","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/stay-tokyo-city-real.jpeg","1400","908","522246","jpeg","stay_or_city_photo","KEEP_VERIFIED","Previously verified photographic asset; product claims remain governed by the catalog."
"/covers/stay-tribal-bali-ai.jpeg","960","640","171769","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/stay-ubud-village-ai.jpeg","960","640","153192","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/stay-uh-busan-ai.jpeg","960","640","93904","jpeg","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/covers/support-cheongju-ai.jpeg","926","636","67214","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/support-cheongju-photo-v2.webp","1200","900","137902","webp","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
"/covers/support-gangjin-ai.jpeg","926","636","64333","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/support-gangjin-photo-v2.webp","1200","900","200728","webp","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
"/covers/support-gimhae-ai.jpeg","926","636","73005","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/support-gimhae-photo-v2.webp","1200","900","226964","webp","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
"/covers/support-hamyang-ai.jpeg","926","636","66818","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/support-hamyang-photo-v2.webp","1200","900","186134","webp","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
"/covers/support-namhae-ai.jpeg","926","636","79193","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/support-namhae-photo-v2.webp","1200","900","192466","webp","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
"/covers/support-tongyeong-ai.jpeg","926","636","87381","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/support-tongyeong-photo-v2.webp","1200","900","316220","webp","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
"/covers/support-yeongdeok-ai.jpeg","926","636","45758","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/support-yeongdeok-photo-v2.webp","1200","900","205044","webp","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
"/covers/taxi-booking-ai.jpeg","926","636","43407","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/transfer-klook-ai.jpeg","926","636","38898","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/trip-prep-allinone-ai.jpeg","1400","800","133556","jpeg","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/covers/wifi-japan-photo-v2.webp","1200","900","48924","webp","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
"/covers/wifi-japan-real-v2.jpeg","1200","800","125837","jpeg","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
"/covers/wifi-klook-japan-ai.jpeg","926","636","58502","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/wifi-klook-taiwan-ai.jpeg","926","636","54247","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/wifi-klook-thailand-ai.jpeg","926","636","61037","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/wifi-taiwan-photo-v2.webp","1200","900","129550","webp","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
"/covers/wifi-thailand-photo-v2.webp","1200","900","100140","webp","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
"/file.svg","","","391","svg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/globe.svg","","","1035","svg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/icons/wakation-192.png","192","192","34080","png","interface","KEEP","Functional brand or interface asset."
"/icons/wakation-512.png","512","512","100940","png","interface","KEEP","Functional brand or interface asset."
"/icons/wakation-maskable-512.png","512","512","83524","png","interface","KEEP","Functional brand or interface asset."
"/media/brand-models/business-model-c-team-planning-desktop-v1.webp","1536","1024","73264","webp","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/media/brand-models/business-model-c-team-planning-mobile-v1.webp","960","1280","50638","webp","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/media/brand-models/campaign-model-f-japan-choice-desktop-v1.webp","1536","1024","85452","webp","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/media/brand-models/campaign-model-f-japan-choice-mobile-v1.webp","960","1280","65366","webp","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/media/brand-models/domestic-busan-model-c-coastal-transition-v1.webp","1200","900","102242","webp","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/media/brand-models/domestic-busan-model-e-coastal-city-v2.webp","1200","900","133464","webp","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/media/brand-models/domestic-busan-model-h-haeundae-v3.webp","1200","900","97686","webp","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/media/brand-models/domestic-jeju-model-a-slow-stay-v1.webp","1200","900","81640","webp","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/media/brand-models/domestic-jeju-model-g-slow-stay-v2.webp","1200","900","142892","webp","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/media/brand-models/domestic-jeju-model-k-coastal-stay-v4.webp","1200","900","197306","webp","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/media/brand-models/domestic-seoul-model-d-urban-work-v1.webp","1200","900","73930","webp","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/media/brand-models/domestic-seoul-model-j-city-noir-v2.webp","1200","900","66238","webp","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/media/brand-models/growth-model-b-urban-learning-desktop-v1.webp","1536","1024","68860","webp","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/media/brand-models/growth-model-b-urban-learning-mobile-v1.webp","960","1280","44430","webp","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/media/brand-models/home-hero-model-a-coastal-work-desktop-v1.webp","1536","1024","93774","webp","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/media/brand-models/home-hero-model-a-coastal-work-desktop-v2.webp","1536","1024","74012","webp","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/media/brand-models/home-hero-model-a-coastal-work-mobile-v1.webp","960","1280","70492","webp","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/media/brand-models/home-hero-model-a-coastal-work-mobile-v2.webp","960","1280","73092","webp","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/media/brand-models/hosted-models-h-i-coastal-planning-mobile-v2.webp","960","1280","61204","webp","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/media/brand-models/hosted-models-h-i-coastal-planning-v2.webp","1440","900","90190","webp","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/media/brand-models/learn-model-k-creative-focus-desktop-v1.webp","1536","1024","83678","webp","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/media/brand-models/learn-model-k-creative-focus-mobile-v1.webp","960","1280","65100","webp","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/media/brand-models/monthly-2026-08-model-e-city-arrival-v1.webp","1200","1500","108504","webp","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/media/brand-models/monthly-2026-08-model-e-city-arrival-v2.webp","1200","1500","106092","webp","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/media/brand-models/monthly-2026-08-model-g-coastal-book-cafe-v1.webp","1200","1500","125794","webp","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/media/brand-models/monthly-2026-08-model-h-coastal-reset-v1.webp","1200","1500","87564","webp","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/media/brand-models/monthly-2026-08-model-j-blue-hour-v1.webp","1200","1500","73510","webp","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/media/brand-models/monthly-2026-08-model-j-blue-hour-v2.webp","1200","1500","105132","webp","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/media/brand-models/programs-model-k-stay-planning-desktop-v1.webp","1440","900","70286","webp","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/media/brand-models/programs-model-k-stay-planning-mobile-v1.webp","960","1280","68128","webp","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/media/brand-models/select-model-i-travel-prep-v2.webp","1440","810","61530","webp","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/media/brand-models/trip-match-model-d-city-departure-v1.webp","1536","1024","81604","webp","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/media/brand-models/trip-match-model-d-itinerary-choice-v2.webp","1536","1024","82584","webp","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/media/destinations/bali-editorial-v1.webp","1600","1067","232680","webp","destination","KEEP","Destination-led image with a registered locale/focal-point use."
"/media/destinations/busan-editorial-v1.webp","1600","1067","156292","webp","destination","KEEP","Destination-led image with a registered locale/focal-point use."
"/media/destinations/cebu-editorial-v1.webp","1600","1067","311518","webp","destination","KEEP","Destination-led image with a registered locale/focal-point use."
"/media/destinations/chiangmai-editorial-v1.webp","1600","1067","494586","webp","destination","KEEP","Destination-led image with a registered locale/focal-point use."
"/media/destinations/danang-editorial-v1.webp","1600","1067","227550","webp","destination","KEEP","Destination-led image with a registered locale/focal-point use."
"/media/destinations/fukuoka-editorial-v1.webp","1600","1067","189140","webp","destination","KEEP","Destination-led image with a registered locale/focal-point use."
"/media/destinations/gangneung-anmok-licensed-v1.webp","1280","853","57078","webp","destination","KEEP","Destination-led image with a registered locale/focal-point use."
"/media/destinations/jeju-editorial-v1.webp","1600","1067","155244","webp","destination","KEEP","Destination-led image with a registered locale/focal-point use."
"/media/destinations/jeongseon-atrain-licensed-v1.webp","1024","613","68526","webp","destination","KEEP","Destination-led image with a registered locale/focal-point use."
"/media/destinations/osaka-editorial-v1.webp","1600","1067","323372","webp","destination","KEEP","Destination-led image with a registered locale/focal-point use."
"/media/destinations/seoul-editorial-v1.webp","1600","1067","238362","webp","destination","KEEP","Destination-led image with a registered locale/focal-point use."
"/media/destinations/sydney-editorial-v1.webp","1600","1067","307530","webp","destination","KEEP","Destination-led image with a registered locale/focal-point use."
"/media/destinations/tokyo-editorial-v1.webp","1600","1067","428630","webp","destination","KEEP","Destination-led image with a registered locale/focal-point use."
"/media/destinations/yangyang-naksan-licensed-v1.webp","1280","853","102326","webp","destination","KEEP","Destination-led image with a registered locale/focal-point use."
"/media/product-editorial/accommodation-urban-studio-editorial-v1.webp","1200","900","70904","webp","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
"/media/product-editorial/city-highrise-apartment-editorial-v1.webp","1200","900","81226","webp","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
"/media/product-editorial/coastal-apartment-editorial-v1.webp","1200","900","85538","webp","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
"/media/product-editorial/coastal-residence-editorial-v1.webp","1200","900","110410","webp","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
"/media/product-editorial/design-hotel-lobby-editorial-v1.webp","1200","900","139826","webp","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
"/media/product-editorial/japanese-apartment-editorial-v1.webp","1200","900","85942","webp","editorial_or_product","KEEP_SOURCE_RECORD","Active local asset; retain its existing source and disclosure record."
